2016-04-16 14:43:40,648 {u'conditions': [{u'train': u'16177'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 102, u'hours_before': 0}
2016-04-16 14:43:40,681 {u'conditions': [{u'train': u'16177'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 3, u'hours_before': 0}
2016-04-16 14:43:40,714 {u'conditions': [{u'train': u'15929'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 1, u'hours_before': 0}
2016-04-16 14:43:40,746 {u'conditions': [{u'train': u'15929'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 36, u'hours_before': 0}
2016-04-16 14:43:40,780 {u'conditions': [{u'train': u'16022'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 1, u'hours_before': 0}
2016-04-16 14:43:40,813 {u'conditions': [{u'train': u'12658'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 5, u'hours_before': 0}
2016-04-16 14:43:40,848 {u'conditions': [{u'train': u'12658'}, {u'class': u'2A'}, {u'quota': u'CK'}], u'waiting_list': 2, u'hours_before': 0}
2016-04-16 14:43:40,881 {u'conditions': [{u'train': u'12658'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 27, u'hours_before': 0}
2016-04-16 14:43:40,914 {u'conditions': [{u'train': u'16669'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 19, u'hours_before': 0}
2016-04-16 14:43:40,947 {u'conditions': [{u'train': u'12658'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 20, u'hours_before': 0}
2016-04-16 14:43:40,979 {u'conditions': [{u'train': u'22909'}, {u'class': u'SL'}, {u'quota': u'PQWL'}], u'waiting_list': 13, u'hours_before': 0}
2016-04-16 14:43:41,009 {u'conditions': [{u'train': u'11015'}, {u'class': u'3A'}, {u'quota': u'PQWL'}], u'waiting_list': 9, u'hours_before': 0}
2016-04-16 14:43:41,042 {u'conditions': [{u'train': u'11063'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 1, u'hours_before': 0}
2016-04-16 14:43:41,071 {u'conditions': [{u'train': u'04004'}, {u'class': u'3A'}, {u'quota': u'GNWL'}], u'waiting_list': 27, u'hours_before': 0}
2016-04-16 14:43:41,105 {u'conditions': [{u'train': u'11063'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 6, u'hours_before': 0}
2016-04-16 14:43:41,135 {u'conditions': [{u'train': u'16227'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 213, u'hours_before': 0}
2016-04-16 14:43:41,164 {u'conditions': [{u'train': u'12617'}, {u'class': u'3A'}, {u'quota': u'PQWL'}], u'waiting_list': 19, u'hours_before': 0}
2016-04-16 14:43:41,197 {u'conditions': [{u'train': u'16328'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 1, u'hours_before': 0}
2016-04-16 14:43:41,233 {u'conditions': [{u'train': u'16185'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 24, u'hours_before': 0}
2016-04-16 14:43:41,267 {u'conditions': [{u'train': u'17229'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 8, u'hours_before': 0}
2016-04-16 14:43:41,301 {u'conditions': [{u'train': u'16022'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 2, u'hours_before': 0}
2016-04-16 14:43:41,331 {u'conditions': [{u'train': u'12141'}, {u'class': u'3A'}, {u'quota': u'PQWL'}], u'waiting_list': 9, u'hours_before': 0}
2016-04-16 14:43:41,362 {u'conditions': [{u'train': u'12141'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 120, u'hours_before': 3}
2016-04-16 14:43:41,400 {u'conditions': [{u'train': u'16022'}, {u'class': u'2A'}, {u'quota': u'CK'}], u'waiting_list': 2, u'hours_before': 0}
2016-04-16 14:43:41,437 {u'conditions': [{u'train': u'02846'}, {u'class': u'2A'}, {u'quota': u'CK'}], u'waiting_list': 13, u'hours_before': 0}
2016-04-16 14:43:41,471 {u'conditions': [{u'train': u'16183'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 25, u'hours_before': 0}
2016-04-16 14:43:41,509 {u'conditions': [{u'train': u'02846'}, {u'class': u'2A'}, {u'quota': u'CK'}], u'waiting_list': 11, u'hours_before': 0}
2016-04-16 14:43:41,539 {u'conditions': [{u'train': u'12509'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 36, u'hours_before': 0}
2016-04-16 14:43:41,572 {u'conditions': [{u'train': u'15024'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 19, u'hours_before': 0}
2016-04-16 14:43:41,604 {u'conditions': [{u'train': u'15024'}, {u'class': u'3A'}, {u'quota': u'CK'}], u'waiting_list': 23, u'hours_before': 0}
2016-04-16 14:43:41,641 {u'conditions': [{u'train': u'15024'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 100, u'hours_before': 0}
2016-04-16 14:43:41,674 {u'conditions': [{u'train': u'14056'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 177, u'hours_before': 0}
2016-04-16 14:43:41,709 {u'conditions': [{u'train': u'16616'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 5, u'hours_before': 0}
2016-04-16 14:43:41,743 {u'conditions': [{u'train': u'16616'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 10, u'hours_before': 0}
2016-04-16 14:43:41,778 {u'conditions': [{u'train': u'16616'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 8, u'hours_before': 0}
2016-04-16 14:43:41,812 {u'conditions': [{u'train': u'16616'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 18, u'hours_before': 0}
2016-04-16 14:43:41,848 {u'conditions': [{u'train': u'16183'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 24, u'hours_before': 0}
2016-04-16 14:43:41,878 {u'conditions': [{u'train': u'12163'}, {u'class': u'3A'}, {u'quota': u'PQWL'}], u'waiting_list': 8, u'hours_before': 3}
2016-04-16 14:43:41,908 {u'conditions': [{u'train': u'02846'}, {u'class': u'3A'}, {u'quota': u'GNWL'}], u'waiting_list': 21, u'hours_before': 0}
2016-04-16 14:43:41,943 {u'conditions': [{u'train': u'16022'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 37, u'hours_before': 0}
2016-04-16 14:43:41,971 {u'conditions': [{u'train': u'12167'}, {u'class': u'3A'}, {u'quota': u'GNWL'}], u'waiting_list': 1, u'hours_before': 0}
2016-04-16 14:43:42,003 {u'conditions': [{u'train': u'12167'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 17, u'hours_before': 0}
2016-04-16 14:43:42,036 {u'conditions': [{u'train': u'12167'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 19, u'hours_before': 0}
2016-04-16 14:43:42,068 {u'conditions': [{u'train': u'12975'}, {u'class': u'SL'}, {u'quota': u'RLGN'}], u'waiting_list': 51, u'hours_before': 0}
2016-04-16 14:43:42,101 {u'conditions': [{u'train': u'12409'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 7, u'hours_before': 0}
2016-04-16 14:43:42,135 {u'conditions': [{u'train': u'17305'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 14, u'hours_before': 0}
2016-04-16 14:43:42,167 {u'conditions': [{u'train': u'16188'}, {u'class': u'SL'}, {u'quota': u'PQWL'}], u'waiting_list': 56, u'hours_before': 0}
